Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug code,Drug brand names
43,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,1041,0,0.01,14.7,371.7,0,0,0,0,NA,NA,NA
44,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4230,INFUS INSULIN PUMP NON NE,74,1,0,6.2,197.2,0,0,0,0,NA,NA,NA
45,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9274,EXT AMB INSULIN DELIVERY,17,1,0,9.8,517.4,0,0,0,0,NA,NA,NA
46,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,7,1,0,42.7,594.1,0,0,0,0,NA,NA,NA
47,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM) INCLUDES ALL SUPPLIES AND ACCESSORIES,19,0.79,0,19.9,2064.6,0,0,0,0,NA,NA,NA
48,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,469,0.75,0,13.1,554.1,0,0,0,0,NA,NA,NA
49,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,86,0.69,0,33.7,474.1,0,0,0,0,NA,NA,NA
50,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4456,ADHESIVE REMOVER WIPES ANY TYPE EACH,3,0.67,0,0,199.1,0,0,0,0,NA,NA,NA
51,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,Q4186,EPIFIX PER SQ CM,4,0.5,0,60.1,258.8,0,0,0,0,NA,NA,NA
52,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4253,BLOOD GLUCOSE/REAGENT STR,2,0.5,0,1.2,0,0,0,0,0,NA,NA,NA
53,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A6209,FOAM DRSG <=16 SQ IN W/O,2,0,0,1.2,0,0,0,0,0,NA,NA,NA
54,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4230,INFUS INSULIN PUMP NON NE,74,1,0,6.2,197.2,0,0,0,0,NA,NA,NA
55,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9274,EXT AMB INSULIN DELIVERY,17,1,0,9.8,517.4,0,0,0,0,NA,NA,NA
56,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,7,1,0,42.7,594.1,0,0,0,0,NA,NA,NA
57,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,Q4110,PRIMATRIX PER SQ CM,1,1,0,3.3,0,0,0,0,0,NA,NA,NA
58,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM) INCLUDES ALL SUPPLIES AND ACCESSORIES,19,0.79,0,19.9,2064.6,0,0,0,0,NA,NA,NA
59,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,469,0.75,0,13.1,554.1,0,0,0,0,NA,NA,NA
60,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,86,0.69,0,33.7,474.1,0,0,0,0,NA,NA,NA
61,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4456,ADHESIVE REMOVER WIPES ANY TYPE EACH,3,0.67,0,0,199.1,0,0,0,0,NA,NA,NA
62,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,Q4186,EPIFIX PER SQ CM,4,0.5,0,60.1,258.8,0,0,0,0,NA,NA,NA
63,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4253,BLOOD GLUCOSE/REAGENT STR,2,0.5,0,1.2,0,0,0,0,0,NA,NA,NA
64,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0781,EXTERNAL AMBULATORY INFUS,2,0,0.5,26.2,1429.8,0,0,0,0,NA,NA,NA
65,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,469,0,0.01,13.1,554.1,0,0,0,0,NA,NA,NA
66,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,86,0,0.01,33.7,474.1,0,0,0,0,NA,NA,NA
67,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL = 1 U OF SERVICE,49,1,0,0,18.8,0,0,0,0,NA,NA,NA
68,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A4230,INFUS INSULIN PUMP NON NEEDL,48,1,0,3.4,22.6,0,0,0,0,NA,NA,NA
69,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A4232,SYRINGE W/NEEDLE INSULIN 3CC,28,1,0,0,16.4,0,0,0,0,NA,NA,NA
70,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,4,1,0,0,5.2,0,0,0,0,NA,NA,NA
71,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A6257,TRANSPARENT FILM STERL 16 SQ IN OR LESS EA DRESS,3,1,0,0,11.2,0,0,0,0,NA,NA,NA
72,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0554,RECEIVER DEDICATED FOR USE W/THERAPEUTIC GCM SYS,132,0.9,0,0,33.9,0,0,0,0,NA,NA,NA
73,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,EXT AMB INFUSN PUMP INSULIN,22,0.86,0,0,41.1,0,0,0,0,NA,NA,NA
74,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor,32,0.38,0,0,0,0,0,0,0,NA,NA,NA
75,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A5120,SKIN BARRIER WIPES OR SWABS EACH,3,0.33,0,0,65,0,0,0,0,NA,NA,NA
76,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL = 1 U OF SERVICE,49,1,0,0,18.8,0,0,0,0,NA,NA,NA
77,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A4230,INFUS INSULIN PUMP NON NEEDL,48,1,0,3.4,22.6,0,0,0,0,NA,NA,NA
78,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A4232,SYRINGE W/NEEDLE INSULIN 3CC,28,1,0,0,16.4,0,0,0,0,NA,NA,NA
79,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,4,1,0,0,5.2,0,0,0,0,NA,NA,NA
80,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A6257,TRANSPARENT FILM STERL 16 SQ IN OR LESS EA DRESS,3,1,0,0,11.2,0,0,0,0,NA,NA,NA
81,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,K0554,RECEIVER DEDICATED FOR USE W/THERAPEUTIC GCM SYS,132,0.9,0,0,33.9,0,0,0,0,NA,NA,NA
82,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,EXT AMB INFUSN PUMP INSULIN,22,0.86,0,0,41.1,0,0,0,0,NA,NA,NA
83,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor,32,0.38,0,0,0,0,0,0,0,NA,NA,NA
84,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A5120,SKIN BARRIER WIPES OR SWABS EACH,3,0.33,0,0,65,0,0,0,0,NA,NA,NA
85,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,NA,NA,test strips,14,0.84,0,6.6,45.2,0,0,0,0,NA,NA,NA
86,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,NA,NA,test strips,14,0.84,0,6.6,45.2,0,0,0,0,NA,NA,NA
87,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,NA,NA,test strips,14,0,0,6.6,45.2,0,0,0,0,NA,NA,NA
88,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13,1,0,14.8,99.5,0,0,0,0,NA,NA,NA
89,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,Q4186,EPIFIX PER SQ CM,1,1,0,0,24,0,0,0,0,NA,NA,NA
90,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4230,INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE,10,0.8,0,13.2,31.7,0,0,0,0,NA,NA,NA
91,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D,29,0.79,0,7.9,37.9,0,0,0,0,NA,NA,NA
92,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4232,SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC,9,0.78,0,0,38.5,0,0,0,0,NA,NA,NA
93,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,13,0.77,0,12.2,22,0,0,0,0,NA,NA,NA
94,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL  Equal to  1 U OF SERVICE,3,0.67,0,0,0,0,0,0,0,NA,NA,NA
95,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4253,BLD GLU TEST/REAGT STRIPS HOME BLD GLU MON-50,2,0.5,0,0,0,0,0,0,0,NA,NA,NA
96,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A5500,DIAB ONLY FIT CSTM PREP AND SPL SHOE MX DNSITY INSRT,1,0,0,0,46.5,0,0,0,0,NA,NA,NA
97,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,99499,UNLISTED EVALUATION AND MANAGEMENT SERVICE,1,0,0,69.1,0,0,0,0,0,NA,NA,NA
98,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13,1,0,14.8,95.5,0,0,0,0,NA,NA,NA
99,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9274,EXTERNAL AMB INSULIN DEL SYSTEM DISPOSABLE EA,1,1,0,0,56.9,0,0,0,0,NA,NA,NA
100,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A5514,DIAB ONLY MX DEN INSRT DIRECT CARV CUSTOM FAB EA,1,1,0,0,76.5,0,0,0,0,NA,NA,NA
101,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,Q4186,EPIFIX PER SQ CM,1,1,0,0,24,0,0,0,0,NA,NA,NA
102,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95249,CONT GLUC MONITORING PATIENT PROVIDED EQUIPTMENT,1,1,0,0,18.5,0,0,0,0,NA,NA,NA
103,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4230,INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE,10,0.8,0,14.8,35.4,0,0,0,0,NA,NA,NA
104,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D,29,0.79,0,8.5,29.2,0,0,0,0,NA,NA,NA
105,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4232,SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC,9,0.78,0,14.8,38.5,0,0,0,0,NA,NA,NA
106,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,13,0.77,0,12.2,22,0,0,0,0,NA,NA,NA
107,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL  Equal to  1 U OF SERVICE,3,0.67,0,1.7,213.8,0,0,0,0,NA,NA,NA
108,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A4232,SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC,9,0,0.11,14.8,38.5,0,0,0,0,NA,NA,NA
109,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A4230,INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE,10,0,0.1,14.8,35.4,0,0,0,0,NA,NA,NA
110,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,13,0,0.08,12.2,22,0,0,0,0,NA,NA,NA
111,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13,0,0.08,14.8,95.5,0,0,0,0,NA,NA,NA
112,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D,29,0,0.03,8.5,29.2,0,0,0,0,NA,NA,NA
113,Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,NA,NA,test strips,218,0.84,0,6.5,8.2,0,0,0,0,NA,NA,NA
